timestamp,servidor,cenario,execucao,Falhas,Tempo_Total,Throughput,Requisicões Bem Sucedidas,Tempo_Medio_Resposta
2025-10-27 14:43:21,sequencial,GET - /,1,0,0.02732539176940918,1829.7999319437051,50,0.0005105018615722656
2025-10-27 14:43:21,sequencial,GET - /,2,0,0.024585485458374023,2033.7202649366266,50,0.00045656204223632813
2025-10-27 14:43:21,sequencial,GET - /,3,0,0.055651187896728516,898.4534183310627,50,0.0010258579254150391
2025-10-27 14:43:21,sequencial,GET - /,4,0,0.04708099365234375,1061.9996759034193,50,0.0008725643157958985
2025-10-27 14:43:21,sequencial,GET - /,5,0,0.07417106628417969,674.1173142695502,50,0.0013464260101318359
2025-10-27 14:43:21,sequencial,GET - /,6,0,0.06499552726745605,769.2837046194028,50,0.0012009859085083008
2025-10-27 14:43:21,sequencial,GET - /,7,0,0.052961111068725586,944.088954914804,50,0.0009743309020996093
2025-10-27 14:43:21,sequencial,GET - /,8,0,0.05228233337402344,956.3459924847689,50,0.0009680747985839844
2025-10-27 14:43:21,sequencial,GET - /,9,0,0.06014680862426758,831.2993015530733,50,0.0010666561126708985
2025-10-27 14:43:21,sequencial,GET - /,10,0,0.07300281524658203,684.9050934695424,50,0.0013174104690551758
2025-10-27 14:43:21,sequencial,GET - /,11,0,0.0814821720123291,613.6311632983284,50,0.0014898443222045898
2025-10-27 14:43:21,sequencial,GET - /,12,0,0.0677497386932373,738.010226524917,50,0.001219954490661621
2025-10-27 14:43:21,sequencial,GET - /,13,0,0.057297468185424805,872.6389068045921,50,0.0010423707962036134
2025-10-27 14:43:21,sequencial,GET - /,14,0,0.06479215621948242,771.6983492666269,50,0.0011755847930908204
2025-10-27 14:43:21,sequencial,GET - /,15,0,0.037988901138305664,1316.173895579809,50,0.0006951904296875
2025-10-27 14:43:21,sequencial,GET - /,16,0,0.0656282901763916,761.8665649465061,50,0.0012051963806152344
2025-10-27 14:43:21,sequencial,GET - /,17,0,0.037874698638916016,1320.1425172166337,50,0.0006952619552612304
2025-10-27 14:43:21,sequencial,GET - /,18,0,0.05714726448059082,874.9325178457443,50,0.0010572385787963867
2025-10-27 14:43:21,sequencial,GET - /,19,0,0.07521677017211914,664.7453737455703,50,0.0013866424560546875
2025-10-27 14:43:21,sequencial,GET - /,20,0,0.09705185890197754,515.1884834117401,50,0.0015884160995483399
